level,bin_bytes,seconds,maxrss_kb,sha256_stdout
O0,419976,0.42,14336,d63fd20813f8de8b72fa74c65495ad3a9fd484647fd981a3bc896a76df61e029
O1,415880,0.39,13952,d63fd20813f8de8b72fa74c65495ad3a9fd484647fd981a3bc896a76df61e029
O2,239752,0.34,14208,d63fd20813f8de8b72fa74c65495ad3a9fd484647fd981a3bc896a76df61e029
O3,243848,0.34,14080,d63fd20813f8de8b72fa74c65495ad3a9fd484647fd981a3bc896a76df61e029
