level,bin_bytes,seconds,maxrss_kb,sha256_stdout
O0,18568,0.34,2432,d63fd20813f8de8b72fa74c65495ad3a9fd484647fd981a3bc896a76df61e029
O1,14472,0.31,2560,d63fd20813f8de8b72fa74c65495ad3a9fd484647fd981a3bc896a76df61e029
O2,22664,0.32,2432,d63fd20813f8de8b72fa74c65495ad3a9fd484647fd981a3bc896a76df61e029
O3,22664,0.29,2560,d63fd20813f8de8b72fa74c65495ad3a9fd484647fd981a3bc896a76df61e029
