level,bin_bytes,seconds,maxrss_kb,sha256_stdout
O0,59584,1.01,2432,d63fd20813f8de8b72fa74c65495ad3a9fd484647fd981a3bc896a76df61e029
O1,43208,0.52,2432,d63fd20813f8de8b72fa74c65495ad3a9fd484647fd981a3bc896a76df61e029
O2,43208,0.53,2432,d63fd20813f8de8b72fa74c65495ad3a9fd484647fd981a3bc896a76df61e029
O3,39112,0.46,2432,d63fd20813f8de8b72fa74c65495ad3a9fd484647fd981a3bc896a76df61e029
